t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:18:18-25864)"
103385.17591620034,102.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1967.1665313351,3123.6789313251,1.5962497215857
103599.47745400814,103.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1751.382626546,3304.6222448845,1.6276800192002
103763.6988581886,104.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1586.0252697744,3443.2809093708,1.6517653695009
103835.91055586308,105.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1513.3140692154,3504.2521183907,1.6623562181359
103931.4256528802,106.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1417.138274998,3584.8993145146,1.6763648340172
104036.65470822457,107.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1311.1813290435,3673.7483920877,1.6917981368344
104101.3208853515,108.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1246.0678429203,3728.348617939,1.701282330058
104153.21936250734,109.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1193.8103735253,3772.1685667892,1.708893962711
104211.04995105472,110.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1135.5797591272,3820.9972332743,1.7173756219089
104275.17800899027,111.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1071.0081144744,3875.1431036851,1.7267808924775
104364.96361044704,112.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,980.60144789447,3950.9526587807,1.7399491982403
104452.07217167933,113.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,892.89033916644,4024.5018823187,1.7527248788645
104706.69157709509,114.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,636.50967994367,4239.4871753964,1.790068351863
104781.60101946865,115.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,561.08207384119,4302.7361975858,1.8010548622354
104878.21671395555,116.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,604.26599097769,4331.8939783007,1.7665682276884
105183.99518180217,117.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1078.3152293639,4298.2757398627,1.5405577925499
105254.76472519324,118.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1188.0294560775,4290.4951155414,1.4882498082467
105323.72230208396,119.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1294.9345859128,4282.9137044684,1.4372811050907
105533.8205918618,120.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1620.6505689798,4259.8148432213,1.2819908839416
105594.24370273338,121.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1714.3246915931,4253.1717379603,1.2373302717125
105685.61130734664,122.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1855.9721518773,4243.1264985456,1.1697976157291
105750.17889688547,123.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1956.0714716916,4236.0277363739,1.1220736896127
105923.46601247293,124.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2186.5124519263,4201.7564765121,1.0114921254507
106029.12105701744,125.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2108.7952399627,4093.9333626585,1.0440240431551
106119.91109733016,126.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2042.0123538489,4001.2802868337,1.071978923422
106179.1331937591,127.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1998.4500588261,3940.8429374061,1.090213815808
106388.73413176092,128.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1844.2728437515,3726.9409330151,1.1547513917963
106565.089135448,129.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1714.5505076201,3546.9670782573,1.2090523150644
106636.2823506666,130.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1662.1825566021,3474.312959533,1.2309731975797
106736.3516722705,131.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1588.5740629265,3372.1901891238,1.2617852326243
106898.26544149044,132.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1469.4743381899,3206.9539067636,1.3116396000914
107101.365705957,133.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1320.0788562093,2999.685971439,1.3741755738146
107372.43613577144,134.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1120.6862181979,2723.0531050922,1.4576400307446
107661.17541328422,135.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,908.29681711044,2428.388821644,1.5465448478744
107729.65948242348,136.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,857.92164628571,2358.4994413893,1.5676315656066
