t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)"
106731.1979900847,33.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3772.6956750091,2511.6043870119,1.2232258849796
107529.09846861885,34.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3199.7406596642,3855.0394069254,1.7826564875269
108537.27892805976,35.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3066.5602194769,2533.1030123242,1.6853792207078
108614.74608590372,36.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3047.0475330117,2456.5766538042,1.691464921113
109143.96099010478,37.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2913.7471153146,1933.7887960833,1.7330392275233
109387.62872553551,38.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2852.3712722415,1693.0802816588,1.7521813888924
109736.66143308429,39.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2766.500691908,1432.3976871562,1.7643132534707
110107.16324249405,40.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2699.9522595858,2167.6789713467,1.5932560475058
110221.00323525588,41.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2679.5046588954,2393.6007184048,1.5406971919365
110825.39667961712,42.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2570.9453072093,3593.0528577446,1.2616544146267
111324.8505645722,43.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2481.2348868636,4584.2466511254,1.0310612463913
111765.92560174732,44.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2842.7953808091,4347.4594332346,1.0858862798198
114022.3182597012,45.0,,-1000.0,,-1000.0,114022.81182835015,-127.69914692561,,-1000.0,,-1000.0,10.0,14.0,4145.4676180068,2202.9462178582,1.6226185363323
114172.45029937648,46.0,,-1000.0,,-1000.0,114172.94386760336,-118.20532947716,,-1000.0,,-1000.0,10.0,14.0,4031.8475968095,2073.8609935036,1.6635424082344
115161.22126886257,47.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3362.0043620491,1206.0269844153,1.8801641900928
115932.55152039276,48.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3517.514752458,593.9002988322,1.4831864349296
116087.8193442284,49.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3303.6721079866,741.953573833,1.4605972939759
116288.50332572544,50.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3027.2800504037,933.31273612979,1.4314007828561
116516.73513273823,51.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2712.9477440803,1150.9397090136,1.3981964760568
119286.454807163,52.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3356.5878306253,3197.8520491811,1.2445223858425
119809.98433723785,53.0,,-1000.0,,-1000.0,,-1000.0,119810.4779059112,-128.03240097749,,-1000.0,10.0,14.0,2797.4909072049,3064.6899599507,1.2494154185205
119901.60681961117,54.0,,-1000.0,,-1000.0,,-1000.0,119902.10038861292,-131.62063991019,,-1000.0,10.0,14.0,2699.6438039025,3041.3853697176,1.2502717442377
122479.41590863989,55.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2722.7638965778,2268.1811989277,1.6189237464218
123701.97200667512,56.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1212.204830662,2509.17501074,1.2589534242619
123827.055821345,57.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1057.6544664272,2533.8318958856,1.2221236533122
123976.29874409972,58.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,873.25372575512,2563.2510946435,1.1781804567011
124496.2213348895,59.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,425.08595806987,2681.5409196428,1.0752075973042
125327.38252841833,60.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1099.2359097103,3089.6651596742,1.5387350571581
125383.05645741144,61.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1011.055605939,3125.2510680603,1.5839537224668
